"설치장소명",설치장소상세,설치시도명,설치시군구명,설치시설구분,서비스제공사명,와이파이SSID,설치년월,소재지도로명주소,소재지지번주소,관리기관명,관리기관전화번호,위도,경도,데이터기준일자
"서문시장 제4지구",상가통로,대구광역시,중구,기타,LG U+,Public WiFi Free,2020-12,대구광역시 중구 큰장로28길 28,대구광역시 중구 대신동115-377,대구광역시 중구청,053-661-2474,35.8694647,128.5807674,2020-06-30
"서문시장 제5지구",상가통로,대구광역시,중구,기타,SKT,Public WiFi Free,2020-12,대구광역시 중구 큰장로26길6,대구광역시 중구 대신동 115-400,대구광역시 중구청,053-661-2474,35.8680879,128.5784309,2020-06-30
"남문시장",상가통로 및  옥상,대구광역시,중구,기타,SKT,Public WiFi Free,2020-12,대구광역시 중구 명륜로 70,대구광역시 중구 남산1동 698-22,대구광역시 중구청,053-661-2474,35.8610709,128.5919889,2020-06-30
"교동시장",상가통로 및  옥상,대구광역시,중구,기타,LG U+,Public WiFi Free,2020-12,대구광역시 중구 교동길 40,대구광역시 중구 교동 67-12,대구광역시 중구청,053-661-2474,35.8732546,128.5967893,2020-06-30
"서문시장 명품프라자 상가",상가 통로,대구광역시,중구,기타,KT,Public WiFi Free,2020-12,대구광역시 중구 큰장로28길 27,대구광역시 중구 대신동 115-112,대구광역시 중구청,053-661-2474,35.8699364,128.5808982,2020-06-30
"중구보건소","로비, 민원실",대구광역시,중구,관공서,KT,Public WiFi Free,2020-12,대구광역시 중구 태평로 45,대구광역시 중구 태평로3가 174-1,대구광역시 중구청,053-661-2474,35.8778703,128.583387,2020-06-30
"남산기독교종합사회복지관",사무실 및 강당,대구광역시,중구,서민·복지시설,LG U+,Public WiFi Free,2020-12,대구광역시 중구 관덕정길16,대구광역시 중구 남산동 941-1,대구광역시 중구청,053-661-2474,35.8650401,128.5905646,2020-06-30
"남산종합사회복지관","대강당, 복도, 공부방 앞",대구광역시,중구,서민·복지시설,LG U+,Public WiFi Free,2020-12,대구광역시 중구 남산로7길 80,대구광역시 중구 남산동 2482-1,대구광역시 중구청,053-661-2474,35.8599331,128.579677,2020-06-30
"가톨릭근로자회관노숙인쉼터",쉼터출입구 천정,대구광역시,중구,서민·복지시설,LG U+,Public WiFi Free,2020-12,대구광역시 중구 중앙대로77길 40,대구광역시 중구 종로2가 35,대구광역시 중구청,053-661-2474,35.8686142,128.5914061,2020-06-30
"중구 청소년문화의 집","출입구, 복도, 대강당",대구광역시,중구,서민·복지시설,LG U+,Public WiFi Free,2020-12,대구광역시 중구 봉산문화길 40,대구광역시 중구 봉산동 223-20,대구광역시 중구청,053-661-2474,35.8619317,128.5979877,2020-06-30
"번개시장",시장통로 및 옥상,대구광역시,중구,기타,LG U+,Public WiFi Free,2020-12,대구광역시 중구 태평로 177-2,대구광역시 중구 태평로1가 1-186,대구광역시 중구청,053-661-2474,35.8752351,128.5974642,2020-06-30
